CustomerID,AnnualIncome,Industry
221,58000,Manufacturing
222,121000,Banking and Finance
223,50000,Media
224,55000,Transport
225,80200,Transport
226,43520,HealthCare
227,46000,Manufacturing
228,50000,Property
229,75000,Transport
230,79100,Communications
231,78520,HealthCare
232,31503,Property
233,98760,Transport
234,145560,Education
235,92960,Accounting
236,107800,Investment
237,42000,Diversified
238,40000,Communications
239,106000,Communications
240,79840,Manufacturing
241,81100,Transport
242,100400,Media
243,201000,Information Technology
244,78000,Communications
245,32031,Transport
246,49000,Accounting
247,35040,Design
248,79027,Transport
249,73000,Communications
250,32816,Electronics
251,43920,Marine
252,53000,Diversified
253,53880,Information Technology
254,49320,Consulting
255,44000,Property
256,76000,Transport
257,48000,HealthCare
258,72800,Transport
259,60000,Energy and Utility
260,93000,Marine
261,146000,Security
262,73000,Retail
263,60000,Media
264,78000,Marine
265,53920,Transport
266,80400,Retail
267,220440,Design
268,78600,Transport
269,47760,Food and Beverages
270,46000,Security
271,50900,Information Technology
272,48000,Security
273,50560,Investment
274,53920,Manufacturing
275,42000,HealthCare
276,51600,HealthCare
277,76000,Information Technology
278,72800,Information Technology
279,75600,HealthCare
280,42000,Communications
281,78000,Property
282,52400,Electronics
283,56000,Transport
284,92000,Property
285,93020,Energy and Utility
286,79100,Property
287,59500,HealthCare
288,49800,Banking and Finance
289,55000,Property
290,109800,Marine
291,73000,Consulting
292,54720,Transport
293,46000,Media
294,46000,Electronics
295,33161,Energy and Utility
296,78600,Information Technology
297,106000,Communications
298,53000,Banking and Finance
299,31850,Manufacturing
300,100480,Security
301,45000,Property
302,58200,Banking and Finance
303,78440,Media
304,53600,Retail
305,93020,Energy and Utility
306,75000,HealthCare
307,54800,Manufacturing
308,44000,Communications
309,58000,HealthCare
310,60000,Manufacturing
311,113480,Retail
312,220800,Education
313,54000,Manufacturing
314,75000,Retail
315,40000,Education
316,122880,Logistics
317,60000,Investment
318,56000,Diversified
319,73000,Investment
320,42000,Investment
321,30902,Communications
322,50900,Marine
323,58000,HealthCare
324,92000,Banking and Finance
325,45000,Communications
326,48520,Information Technology
327,45000,Manufacturing
328,197400,HealthCare
329,53000,Transport
330,146000,Design
331,50900,Food and Beverages
332,50000,Design
333,52000,Data Storage
334,53880,Education
335,54000,Banking and Finance
336,52000,Agribusiness
337,33162,Transport
338,82000,Investment
339,45000,HealthCare
340,50000,Energy and Utility
341,126800,Transport
342,75000,Information Technology
343,79880,Communications
344,81760,Manufacturing
345,58000,Property
346,58160,Manufacturing
347,50000,Communications
348,31533,Transport
349,43920,Electronics
350,52000,Information Technology
351,75000,Transport
352,51600,HealthCare
353,55000,Data Storage
354,127200,Government
355,82600,Manufacturing
356,50400,HealthCare
357,79880,Service
358,31935,Agribusiness
359,73000,Marine
360,49000,Information Technology
361,40200,Food and Beverages
362,78000,Marine
363,50100,Marine
364,58000,Manufacturing
365,42000,Education
366,27013,Media
367,45000,Transport
368,104000,Data Storage
369,90000,Banking and Finance
370,55000,Property
371,52000,HealthCare
372,59160,Information Technology
373,50100,Communications
374,80000,Security
375,44000,Security
376,78000,HealthCare
377,44000,Transport
378,90960,Education
379,44000,Energy and Utility
380,82800,Property
381,32553,Communications
382,50904,Banking and Finance
383,106080,Design
384,52000,Electronics
385,93320,Food and Beverages
386,40240,Diversified
387,47760,Food and Beverages
388,43000,Transport
389,48013,Consulting
390,60000,HealthCare
391,60000,Retail
392,197500,Transport
393,50900,Banking and Finance
394,141000,Property
395,57000,Electronics
396,73000,Communications
397,93600,Security
398,33200,Banking and Finance
399,33212,Agribusiness
400,58000,HealthCare
401,73000,Investment
402,52960,Electronics
403,44000,HealthCare
404,106080,Investment
405,75000,Investment
406,78760,Information Technology
407,196480,HealthCare
408,196480,Transport
409,106200,Banking and Finance
410,60000,Manufacturing
411,82600,Property
412,44000,Food and Beverages
413,198100,Information Technology
414,43000,Transport
415,42120,Service
416,42000,Communications
417,52000,Food and Beverages
418,32831,HealthCare
419,42000,Communications
420,79100,Transport
421,220800,Transport
422,50000,Transport
423,110000,Investment
424,30160,Investment
425,48720,Manufacturing
426,79920,Transport
427,52000,HealthCare
428,30023,Transport
429,57100,Communications
430,51240,Diversified
431,46000,Communications
432,55000,Diversified
433,76000,HealthCare
434,76000,Design
435,33221,HealthCare
436,93760,Communications
437,81000,Investment
438,57480,Information Technology
439,52000,Investment
440,59200,Manufacturing
441,45000,Transport
442,57500,Transport
443,53225,Energy and Utility
444,80000,Information Technology
445,83000,Investment
446,45000,Investment
447,75000,Information Technology
448,201760,Media
449,60000,Transport
450,75000,Consulting
451,51240,Entertainment
452,76000,Marine
453,57000,Food and Beverages
454,38040,Design
455,31244,Hospitality
456,110000,Banking and Finance
457,57000,Information Technology
458,54800,Food and Beverages
459,42000,Food and Beverages
460,33024,Diversified
461,42000,Retail
462,45480,Banking and Finance
463,93920,Electronics
464,43600,Security
465,30164,Electronics
466,202000,Investment
467,50100,Information Technology
468,80000,Diversified
469,110000,Information Technology
470,73500,Transport
471,76000,Transport
472,105000,Education
473,73000,Marine
474,105000,Marine
475,43920,Security
476,33228,Transport
477,75600,Transport
478,80480,Manufacturing
479,36000,Transport
480,147000,Electronics
481,54000,Food and Beverages
482,49500,Property
483,75000,Transport
484,59880,Communications
485,57600,Transport
486,48000,Design
487,30913,Transport
488,53000,Government
489,197400,Food and Beverages
490,57320,Security
491,60000,Media
492,83000,Transport
493,80000,Food and Beverages
494,43000,Agribusiness
495,42000,Food and Beverages
496,57000,Property
497,55000,Manufacturing
498,55650,Information Technology
499,45000,Property
500,53000,Transport
501,49000,Retail
502,47000,Security
503,49000,Property
504,59000,Food and Beverages
505,49000,Communications
506,147520,Diversified
507,77000,Information Technology
508,53960,Information Technology
509,50000,Retail
510,53000,Transport
511,53000,Education
512,45480,Property
513,65000,HealthCare
514,45980,Investment
515,30948,HealthCare
516,31548,Manufacturing
517,127960,Marine
518,30803,Security
519,82640,Investment
520,39000,Media
521,68500,Transport
522,43000,HealthCare
523,49320,Media
524,42200,Security
525,33267,Communications
526,79000,Property
527,56000,Communications
528,59600,Government
529,42000,Security
530,57600,Consulting
531,53000,Transport
532,157800,Transport
533,239000,Transport
534,37500,Food and Beverages
535,104000,Property
536,82640,Media
537,48000,Diversified
538,63900,Information Technology
539,49320,Manufacturing
540,80300,Energy and Utility
541,123000,Security
542,51300,Government
543,57000,HealthCare
544,131800,Information Technology
545,169500,HealthCare
546,60000,Banking and Finance
547,77000,Electronics
548,42000,Retail
549,49000,Marine
550,48000,Retail
551,53500,Communications
552,198000,Manufacturing
553,47000,Energy and Utility
554,43500,Food and Beverages
555,63520,Electronics
556,56000,Communications
557,77960,Communications
558,102000,Design
559,52000,Electronics
560,48000,Energy and Utility
561,104000,Design
562,73000,Manufacturing
563,56010,Information Technology
564,56000,Investment
565,42000,Property
566,58000,HealthCare
567,80480,Media
568,180000,Manufacturing
569,79640,Transport
570,48720,Media
571,73000,HealthCare
572,60440,HealthCare
573,56000,Electronics
574,45600,Transport
575,42000,Manufacturing
576,73000,Government
577,76320,Property
578,76440,Information Technology
579,225900,Transport
580,73000,Transport
581,45080,Energy and Utility
582,51000,Property
583,47000,HealthCare
584,75000,Marine
585,79000,Investment
586,42000,Property
587,47400,Information Technology
588,69000,Banking and Finance
589,73000,Transport
590,59000,Education
591,89600,Banking and Finance
592,83000,HealthCare
593,52000,Retail
594,78760,Transport
595,42000,Transport
596,87160,Investment
597,42000,Media
598,79000,Property
599,51000,Entertainment
600,101000,Property
601,55000,Property
602,42000,HealthCare
603,64695,Investment
604,73000,HealthCare
605,42000,Information Technology
606,42000,Food and Beverages
607,56000,HealthCare
608,49000,Manufacturing
609,67000,Transport
610,80000,Manufacturing
611,32838,Food and Beverages
612,74000,Transport
613,65950,HealthCare
614,104000,Manufacturing
615,68950,Electronics
616,43640,Retail
617,53000,Agribusiness
618,42400,Security
619,73000,Property
620,81000,Transport
621,52000,Education
622,197000,Transport
623,142000,Transport
624,42000,Banking and Finance
625,60000,Government
626,94000,Security
627,48400,Security
628,73000,Marine
629,44000,Security
630,63659,Marine
631,49600,Security
632,48000,Communications
633,58000,Communications
634,59200,Property
635,42000,Food and Beverages
636,49530,Design
637,56000,Retail
638,110120,Transport
639,32558,Diversified
640,80000,Government
641,80230,Government
642,141000,Diversified
643,78000,Retail
644,71350,Property
645,47000,Energy and Utility
646,42000,Property
647,73000,Banking and Finance
648,102000,Consulting
649,85000,Property
650,55000,Banking and Finance
651,43000,Information Technology
652,51680,Accounting
653,54000,Electronics
654,80000,HealthCare
655,45380,Accounting
656,54000,Communications
657,48000,Accounting
658,55000,Communications
659,47000,Security
660,42240,Design
661,75000,Transport
662,59000,Manufacturing
663,55000,Manufacturing
664,48100,Property
665,53000,Transport
666,52000,Manufacturing
667,73000,Property
668,73000,Marine
669,69000,Agribusiness
670,54000,Investment
671,78785,Transport
672,30034,Energy and Utility
673,102600,Banking and Finance
674,76000,HealthCare
675,76000,Manufacturing
676,73000,Manufacturing
677,42000,Banking and Finance
678,45000,Diversified
679,73000,Property
680,54000,Retail
681,94000,Education
682,73000,Manufacturing
683,78000,Property
684,76000,Property
685,48500,Diversified
686,52000,Manufacturing
687,56000,Information Technology
688,142000,Diversified
689,95000,Banking and Finance
690,73000,Banking and Finance
691,75000,Security
692,73000,Accounting
693,47000,Communications
694,42000,Communications
695,31935,Communications
696,57000,Manufacturing
697,74000,Banking and Finance
698,69000,Security
699,147760,Transport
700,52000,Manufacturing
701,42000,Transport
702,80500,Property
703,47000,Manufacturing
704,47000,Property
705,83110,Communications
706,49000,Design
707,42000,Entertainment
708,50000,Transport
709,148000,Education
710,30047,Transport
711,106560,Education
712,201800,Information Technology
713,55000,Communications
714,156900,Education
715,82000,Information Technology
716,49600,Manufacturing
717,70000,Manufacturing
718,75840,Transport
719,48000,Communications
720,44000,Property
721,63500,Marine
722,52560,Manufacturing
723,48960,HealthCare
724,52000,Investment
725,54350,Investment
726,47000,Food and Beverages
727,42000,Food and Beverages
728,110520,Service
729,47880,Information Technology
730,48000,Manufacturing
731,57000,Manufacturing
732,50900,Marine
733,50000,Property
734,47000,Banking and Finance
735,105000,Communications
736,30281,Food and Beverages
737,57100,Banking and Finance
738,48100,Communications
739,73000,Diversified
740,31250,Transport
741,53000,Banking and Finance
742,59000,Manufacturing
743,81569,Transport
744,41280,Food and Beverages
745,73000,Diversified
746,237600,Property
747,99000,Investment
748,78000,Manufacturing
749,73000,Transport
750,47500,Security
751,54000,Retail
752,82664,Transport
753,52000,Communications
754,49000,Property
755,141000,Electronics
756,53000,Information Technology
757,74000,Entertainment
758,51300,Government
759,78000,Retail
760,48800,Manufacturing
761,52000,Government
762,238400,Manufacturing
763,47000,Transport
764,45000,Diversified
765,49800,Marine
766,85000,HealthCare
767,94000,Manufacturing
768,57200,Retail
769,78800,Transport
770,52000,Electronics
771,54900,Information Technology
772,106840,Transport
773,82680,Investment
774,196480,Manufacturing
775,42000,Electronics
776,76000,Property
777,42000,Property
778,110560,Marine
779,57000,Communications
780,39500,Retail
781,81000,Marine
782,43920,Food and Beverages
783,148000,Manufacturing
784,237200,Service
785,81800,Education
786,45000,Manufacturing
787,48800,Transport
788,50000,Diversified
789,44000,Entertainment
790,47000,Security
791,42000,Investment
792,59200,Investment
793,46000,Security
794,33310,Communications
795,51000,Media
796,50000,Retail
797,50500,Agribusiness
798,77000,Transport
799,73000,Transport
800,30954,Energy and Utility
801,53000,Banking and Finance
802,76650,Information Technology
803,53000,Diversified
804,56010,Information Technology
805,56000,Communications
806,59000,Energy and Utility
807,95000,Logistics
808,65000,Property
809,47880,Communications
810,190000,Government
811,85000,Transport
812,30064,Transport
813,50000,Information Technology
814,73000,Transport
815,36000,Security
816,79700,Transport
817,57600,Information Technology
818,148000,Communications
819,58000,Transport
820,48000,Investment
821,47000,Energy and Utility
822,50000,HealthCare
823,78000,Information Technology
824,43600,Agribusiness
825,59200,HealthCare
826,39000,Communications
827,60000,Investment
828,197220,Transport
829,46000,Manufacturing
830,53000,Property
831,59000,Banking and Finance
832,50000,Retail
833,76000,Design
834,201000,Property
835,51680,Investment
836,56000,Diversified
837,53000,Information Technology
838,50000,Diversified
839,202000,Investment
840,201320,Consulting
841,95000,Banking and Finance
842,73000,HealthCare
843,70000,Investment
844,148000,Design
845,83000,Logistics
846,54000,HealthCare
847,58700,Energy and Utility
848,142000,Transport
849,43000,HealthCare
850,32056,Logistics
851,53000,Energy and Utility
852,48590,Property
853,36360,Food and Beverages
854,202000,HealthCare
855,78800,Diversified
856,152900,Energy and Utility
857,49000,Food and Beverages
858,45160,Food and Beverages
859,52000,Property
860,221000,Security
861,81000,Media
862,76000,Investment
863,59120,Manufacturing
864,46000,Property
865,79500,Investment
866,236000,Food and Beverages
867,43000,Entertainment
868,73000,Transport
869,57600,Retail
870,42000,Property
871,69000,Media
872,47880,Communications
873,59311,Transport
874,30206,Logistics
875,54000,HealthCare
876,44000,Manufacturing
877,54800,Media
878,79580,Information Technology
879,111000,Design
880,73000,Communications
881,47000,Education
882,78840,HealthCare
883,42000,Security
884,91000,Banking and Finance
885,28000,Transport
886,55000,HealthCare
887,55000,Education
888,128000,Transport
889,59000,Manufacturing
890,49560,Transport
891,58000,Banking and Finance
892,39000,Transport
893,76950,Information Technology
894,45000,Security
895,51000,Manufacturing
896,48000,Transport
897,42000,Security
898,43000,Banking and Finance
899,36500,Diversified
900,51000,Education
901,48000,Information Technology
902,49560,HealthCare
903,76000,Banking and Finance
904,43000,Security
905,50325,Transport
906,43640,Electronics
907,46800,Transport
908,106920,HealthCare
909,72000,Transport
910,148000,Property
911,52400,HealthCare
912,43800,Property
913,201800,HealthCare
914,48000,Design
915,179000,Energy and Utility
916,42480,Design
917,72000,Communications
918,54000,Electronics
919,53000,Retail
920,80000,Information Technology
921,93000,Food and Beverages
922,60000,Transport
923,73990,Transport
924,81000,Transport
925,45900,HealthCare
926,52000,Information Technology
927,50000,Media
928,56000,Education
929,83000,Energy and Utility
930,78000,Transport
931,53600,Government
932,81800,Electronics
933,48000,Communications
934,148000,Communications
935,58000,Diversified
936,51700,Information Technology
937,101000,Logistics
938,94520,Investment
939,60000,Manufacturing
940,39800,Food and Beverages
941,73000,Design
942,76700,Electronics
943,46920,Security
944,69500,Media
945,52000,Communications
946,28000,Diversified
947,30433,Food and Beverages
948,56000,Data Storage
949,52000,Transport
950,49000,Communications
951,73000,Consulting
952,49000,Media
953,43650,HealthCare
954,100000,Information Technology
955,49000,Information Technology
956,76000,HealthCare
957,60674,Marine
958,85000,Media
959,41000,Transport
960,129000,Transport
961,73000,Marine
962,75000,Energy and Utility
963,80000,Manufacturing
964,89000,Banking and Finance
965,32900,Electronics
966,42000,Banking and Finance
967,57600,Information Technology
968,69000,Communications
969,76000,Energy and Utility
970,57600,Food and Beverages
971,78000,Property
972,85230,Property
973,60000,Transport
974,49600,Manufacturing
975,94640,Design
976,79400,Transport
977,36800,Transport
978,43250,Banking and Finance
979,39000,Transport
980,89000,Energy and Utility
981,59000,Manufacturing
982,47000,Transport
983,49000,Accounting
984,56160,HealthCare
985,69800,Property
986,50640,Banking and Finance
987,77450,Transport
988,68890,Information Technology
989,55000,Communications
990,49850,Marine
991,44000,HealthCare
992,53600,Diversified
993,44965,Service
994,42639,HealthCare
995,79000,Information Technology
996,44500,Information Technology
997,47650,Transport
998,67000,Manufacturing
999,44960,Transport
1000,27013,Media
1001,49000,Retail
1002,58000,Property
1003,43000,HealthCare
1004,35692,Retail
1005,49000,Communications
1006,83000,Banking and Finance
1007,32652,Food and Beverages
1008,73000,Marine
1009,126000,Consulting
1010,94800,Energy and Utility
1011,238000,Property
1012,42000,Energy and Utility
1013,49000,Transport
1014,57800,Security
1015,26590,Entertainment
1016,69000,Logistics
1017,52000,Manufacturing
1018,48000,Security
1019,123500,Energy and Utility
1020,75000,Transport
1021,46000,Food and Beverages
1022,79500,Property
1023,80000,Investment
1024,42000,Government
1025,65960,Manufacturing
1026,81000,Transport
1027,30526,Communications
1028,42000,Banking and Finance
1029,83000,Transport
1030,94800,Media
1031,39000,Manufacturing
1032,107000,Energy and Utility
1033,51200,Manufacturing
1034,53000,HealthCare
1035,58000,Property
1036,41200,Manufacturing
1037,60000,Communications
1038,226140,Banking and Finance
1039,55000,Transport
1040,65360,Transport
1041,56200,HealthCare
1042,75000,Media
1043,44000,Manufacturing
1044,95000,Security
1045,38700,Diversified
1046,33000,HealthCare
1047,49000,Energy and Utility
1048,98000,Design
1049,198100,Retail
1050,227100,Education
1051,60000,Communications
1052,156200,Transport
1053,224000,Manufacturing
1054,73000,Security
1055,63000,Diversified
1056,83000,Marine
1057,46500,HealthCare
1058,50640,Retail
1059,59890,Property
1060,221000,Security
1061,61000,Food and Beverages
1062,60000,Communications
1063,56280,Transport
1064,85500,Manufacturing
1065,47000,Information Technology
1066,35000,Transport
1067,111000,Entertainment
1068,46500,Security
1069,57000,Data Storage
1070,53000,Energy and Utility
1071,56280,Transport
1072,53000,Investment
1073,60000,HealthCare
1074,80000,Communications
1075,31001,Property
1076,60000,Information Technology
1077,75000,Property
1078,133600,Communications
1079,79500,Diversified
1080,38000,Transport
1081,196320,Investment
1082,49500,Security
1083,39500,Transport
1084,75000,Communications
1085,83240,Accounting
1086,52000,Information Technology
1087,32578,Property
1088,76800,Transport
1089,141000,Design
1090,45600,Data Storage
1091,42000,Communications
1092,83240,Transport
1093,81000,Retail
1094,78840,HealthCare
1095,60000,Government
1096,141200,Food and Beverages
1097,80000,Transport
1098,82500,Manufacturing
1099,73000,Transport
1100,72000,Information Technology
1101,85000,Information Technology
1102,53000,Transport
1103,47900,Electronics
1104,75000,Government
1105,110000,Design
1106,78000,Investment
1107,206800,Service
1108,32587,Manufacturing
1109,54000,Information Technology
1110,31008,Government
1111,76000,Property
1112,73000,Communications
1113,42000,Property
1114,76000,Logistics
1115,57680,Transport
1116,80000,Property
1117,77500,Transport
1118,90000,Energy and Utility
1119,42360,Consulting
1120,80000,Information Technology
1121,43250,Security
1122,75000,Investment
1123,39800,Communications
1124,60000,Data Storage
1125,56000,Transport
1126,63260,Government
1127,60000,Information Technology
1128,127590,Food and Beverages
1129,72000,Government
1130,81100,Transport
1131,46000,Accounting
1132,45000,Communications
1133,85000,Energy and Utility
1134,52000,Security
1135,45980,HealthCare
1136,42000,Communications
1137,48000,Security
1138,198500,Banking and Finance
1139,50000,Marine
1140,148000,Transport
1141,51700,Energy and Utility
1142,56680,Information Technology
1143,79500,Entertainment
1144,79200,Accounting
1145,46000,Property
1146,35000,Diversified
1147,47000,Security
1148,44000,Education
1149,107000,Security
1150,55000,Retail
1151,49800,Retail
1152,79120,Transport
1153,30854,Media
1154,53000,Agribusiness
1155,65000,Information Technology
1156,45600,Marine
1157,54600,Diversified
1158,48400,Design
1159,74000,Investment
1160,62590,Transport
1161,132000,Design
1162,75000,Transport
1163,55000,Communications
1164,74000,Communications
1165,46890,HealthCare
1166,60000,Transport
1167,45000,HealthCare
1168,43120,Electronics
1169,49000,Retail
1170,85000,Energy and Utility
1171,83000,Government
1172,67000,Investment
1173,45160,Transport
1174,57000,Marine
1175,71000,Government
1176,57800,Electronics
1177,55000,Communications
1178,30883,Communications
1179,63500,Diversified
1180,75000,Information Technology
1181,54000,Communications
1182,60000,Retail
1183,53000,Communications
1184,90000,Accounting
1185,58000,Property
1186,81120,Transport
1187,52000,Education
1188,81000,Transport
1189,60000,Security
1190,88000,Banking and Finance
1191,69000,Banking and Finance
1192,73200,Diversified
1193,221000,Investment
1194,78000,Property
1195,221000,Energy and Utility
1196,75000,HealthCare
1197,55000,Energy and Utility
1198,36440,Food and Beverages
1199,33402,Transport
1200,44000,Banking and Finance
1201,80000,Transport
1202,48000,Food and Beverages
1203,59000,Energy and Utility
1204,56300,Entertainment
1205,47000,Government
1206,125000,Manufacturing
1207,49000,Manufacturing
1208,42000,Transport
1209,52000,Food and Beverages
1210,69000,Retail
1211,46000,Manufacturing
1212,81000,Transport
1213,81880,Transport
1214,65000,Government
1215,89000,Banking and Finance
1216,50680,Information Technology
1217,52000,Accounting
1218,63000,Government
1219,51600,Manufacturing
1220,78000,Transport
1221,75900,Investment
1222,49850,Energy and Utility
1223,202000,Manufacturing
1224,33406,Transport
1225,44000,Data Storage
1226,148000,Transport
1227,51100,Transport
1228,111000,Education
1229,92000,Property
1230,134560,Transport
1231,227000,Education
1232,57000,Manufacturing
1233,43500,Property
1234,55000,Investment
1235,69990,Property
1236,49000,HealthCare
1237,52000,Manufacturing
1238,53000,Transport
1239,81000,Property
1240,78880,Energy and Utility
1241,51230,Manufacturing
1242,101000,HealthCare
1243,49600,Communications
1244,80560,Service
1245,74000,Accounting
1246,49600,Communications
1247,92000,Energy and Utility
1248,52000,Manufacturing
1249,36000,Food and Beverages
1250,47000,Property
1251,80560,Banking and Finance
1252,75000,Government
1253,148960,Service
1254,59100,Information Technology
1255,79500,Transport
1256,82700,Retail
1257,45000,Investment
1258,55000,Transport
1259,48900,Information Technology
1260,37000,Transport
1261,43200,HealthCare
1262,50000,Retail
1263,47000,Design
1264,69520,Transport
1265,83000,Property
1266,55000,HealthCare
1267,83000,Investment
1268,83240,HealthCare
1269,44790,Manufacturing
1270,57000,Diversified
1271,107000,Design
1272,96320,Consulting
1273,74000,Accounting
1274,205600,Property
1275,76000,HealthCare
1276,107000,Food and Beverages
1277,43500,Food and Beverages
1278,75000,Transport
1279,53600,Information Technology
1280,55000,Communications
1281,46000,Transport
1282,139680,Consulting
1283,52000,HealthCare
1284,42580,Property
1285,33429,HealthCare
1286,56800,Security
1287,42000,Retail
1288,80000,Investment
1289,99000,Investment
1290,73000,Investment
1291,49560,Banking and Finance
1292,58950,Manufacturing
1293,95000,Education
1294,52000,Property
1295,68300,Communications
1296,222680,Manufacturing
1297,59000,Property
1298,49000,Media
1299,80800,Manufacturing
1300,83000,HealthCare
1301,42000,Transport
1302,78000,Information Technology
1303,44000,Retail
1304,73000,Transport
1305,83500,Design
1306,56000,Transport
1307,46000,Transport
1308,52080,Information Technology
1309,73200,Information Technology
1310,95000,Design
1311,60000,Electronics
1312,76000,Communications
1313,28656,Accounting
1314,42000,HealthCare
1315,52650,HealthCare
1316,74000,Property
1317,48000,Food and Beverages
1318,33443,Government
1319,45000,Education
1320,38000,Transport
1321,222720,Banking and Finance
1322,43000,Retail
1323,56000,Investment
1324,53000,Transport
1325,68000,Retail
1326,88000,Energy and Utility
1327,55000,Government
1328,47900,Electronics
1329,43000,Property
1330,47000,Manufacturing
1331,45000,Service
1332,41000,Diversified
1333,54000,Communications
1334,43000,Transport
1335,135500,Security
1336,73040,Communications
1337,73360,Accounting
1338,54000,Manufacturing
1339,65950,Food and Beverages
1340,47520,Security
1341,80400,Consulting
1342,65000,Investment
1343,33446,Transport
1344,149000,Electronics
1345,88000,Energy and Utility
1346,100000,Media
1347,79120,Property
1348,190000,Transport
1349,45200,Property
1350,53000,Education
1351,42000,Communications
1352,139680,Diversified
1353,48920,Transport
1354,45600,Investment
1355,43000,Entertainment
1356,32595,Banking and Finance
1357,88100,Investment
1358,54000,Property
1359,89000,Manufacturing
1360,54960,Manufacturing
1361,47000,Security
1362,65800,Manufacturing
1363,199300,Energy and Utility
1364,75000,Security
1365,43000,Communications
1366,51000,Transport
1367,35960,Property
1368,43200,Property
1369,44010,Transport
1370,48400,HealthCare
1371,47520,Food and Beverages
1372,56000,Investment
1373,149000,Security
