CustomerID,AnnualIncome,Industry,CustomerID-1,Nationality,SASNationality,EducationLevel,Gender,BirthDate,MaritalStatus,NoOfDependents,ResidentialType,PostalCode
42,72720,Banking and Finance,42,SG,SG,University,M,7/18/1974,Single,0,HDB4,760724
43,49800,Communications,43,SG,SG,Secondary,F,9/2/1935,Married,5,HDB2,530696
44,53920,Media,44,SG,SG,Secondary,F,10/19/1970,Married,2,AP,169016
45,33131,HealthCare,45,SG,SG,Below Secondary,M,3/27/1959,Married,4,HDB2,530574
46,44000,Education,46,SG,SG,Below Secondary,M,11/17/1969,Single,0,HDB2,562596
47,75000,Communications,47,SG,SG,University,M,5/1/1984,Married,0,HDB2,760137
48,42000,Food and Beverages,48,SG,SG,Below Secondary,M,11/23/1983,Married,1,EC,529945
49,52000,Retail,49,SG,SG,Secondary,F,12/19/1959,Married,4,HDB4,530656
50,45000,Retail,50,SG,SG,Below Secondary,F,5/2/1941,Married,1,HDB2,680670
51,73000,Investment,51,SG,SG,University,F,11/17/1988,Married,0,PC,545019
52,42000,Transport,52,SG,SG,Below Secondary,F,4/9/1980,Married,0,HDB4,751468
53,56000,Communications,53,SG,SG,Diploma,F,6/11/1986,Single,0,HDB4,570155
54,58640,HealthCare,54,SG,SG,Post Secondary,M,2/21/1964,Single,0,HDB2,600241
55,31132,Hospitality,55,SG,SG,Below Secondary,M,9/6/1965,Married,1,HDB3,570183
56,48000,Electronics,56,SG,SG,Post Secondary,F,3/22/1991,Married,0,HDB2,825195
57,40000,Design,57,SG,SG,Below Secondary,F,4/2/1954,Married,0,HDB2,760328
58,55000,Communications,58,SG,SG,Secondary,F,12/20/1965,Single,0,HDB4,570189
59,73000,Information Technology,59,SG,SG,University,M,9/13/1986,Married,4,HDB4,310049
60,52360,Transport,60,SG,SG,Post Secondary,F,10/10/1980,Single,0,HDB3,400014
61,49200,Manufacturing,61,SG,SG,Diploma,F,5/3/1974,Married,0,HDB2,510573
62,201720,Transport,62,SG,SG,University,M,5/6/1980,Married,0,HDB2,650370
63,42000,Energy and Utility,63,SG,SG,Below Secondary,F,1/21/1988,Married,1,HDB4,140129
64,31137,Transport,64,SG,SG,Below Secondary,F,1/4/1966,Married,1,HDB4,541189
65,45000,Food and Beverages,65,SG,SG,Below Secondary,M,4/5/1967,Single,0,HDB4,750332
66,80320,Diversified,66,SG,SG,Diploma,F,4/6/1954,Divorced,0,EC,507004
67,73000,Investment,67,SG,SG,University,F,4/18/1954,Married,1,HDB4,310035
68,77000,Property,68,SG,SG,Diploma,F,8/8/1969,Married,2,HDB4,400016
69,50000,Retail,69,SG,SG,Secondary,M,8/15/1980,Single,0,HDB4,760736
70,120000,Transport,70,SG,SG,University,M,3/16/1964,Married,1,HDB4,760724
71,52000,Accounting,71,SG,SG,Secondary,M,12/26/1959,Married,0,HDB2,310060
72,30798,Manufacturing,72,SG,SG,Below Secondary,F,8/7/1968,Married,3,DH,579255
73,58000,Property,73,SG,SG,Post Secondary,F,4/27/1965,Single,0,HDB4,760796
74,45880,Food and Beverages,74,SG,SG,Below Secondary,M,6/26/1964,Single,0,HDB2,520278
75,31678,HealthCare,75,SG,SG,Below Secondary,M,9/10/1968,Married,3,HDB4,520492
76,80100,Information Technology,76,SG,SG,University,M,12/15/1970,Married,4,HDB2,640751
77,82800,Consulting,77,SG,SG,University,F,4/4/1964,Married,0,HDB4,650531
78,52400,Transport,78,SG,SG,Post Secondary,M,8/26/1980,Single,0,HDB2,640688
79,79400,Information Technology,79,SG,SG,Diploma,M,7/7/1961,Married,5,HDB4,520708
80,52520,HealthCare,80,SG,SG,Post Secondary,F,7/4/1979,Married,4,HDB2,760764
81,92000,Design,81,SG,SG,University,F,8/14/1966,Single,0,HDB2,610358
82,50000,Government,82,SG,SG,Secondary,F,6/1/1980,Single,0,HDB2,530321
83,44000,Electronics,83,SG,SG,Below Secondary,M,7/27/1969,Single,0,HDB4,730371
84,46000,Energy and Utility,84,SG,SG,Below Secondary,M,5/9/1964,Single,0,HDB2,541295
85,73000,Government,85,SG,SG,University,F,3/18/1987,Married,0,HDB2,400352
86,75600,Service,86,SG,SG,University,F,6/10/1962,Married,1,HDB4,542297
87,92400,Design,87,SG,SG,University,F,10/26/1971,Single,0,HDB3,430001
88,49500,Diversified,88,SG,SG,Secondary,M,5/3/1968,Married,5,BUN,416998
89,75000,Information Technology,89,SG,SG,University,F,9/22/1984,Single,0,HDB2,730128
90,45480,Design,90,SG,SG,Below Secondary,F,11/14/1944,Married,0,SDH,757423
91,54000,Communications,91,SG,SG,Secondary,M,9/19/1969,Married,1,HDB2,760278
92,79800,Electronics,92,SG,SG,Diploma,M,8/5/1959,Married,1,HDB4,544224
93,76000,HealthCare,93,SG,SG,University,M,10/8/1960,Married,1,HDB4,550315
94,55000,Banking and Finance,94,SG,SG,University,M,3/15/1957,Married,1,HDB3,560219
95,80360,HealthCare,95,SG,SG,Diploma,M,12/19/1954,Single,0,HDB2,520345
96,32773,Transport,96,SG,SG,Below Secondary,M,4/8/1962,Married,1,HDB4,530354
97,52000,Electronics,97,SG,SG,Secondary,F,7/22/1959,Single,0,HDB2,320075
98,199500,Energy and Utility,98,SG,SG,University,F,8/28/1966,Married,0,HDB4,760850
99,42000,Security,99,SG,SG,Below Secondary,M,1/28/1984,Single,0,HDB2,682688
100,145000,Investment,100,SG,SG,University,M,7/8/1959,Single,0,HDB2,530363
101,59100,Transport,101,SG,SG,Post Secondary,F,6/23/1956,Married,1,HDB4,550212
102,52000,Marine,102,SG,SG,Secondary,M,1/17/1955,Single,0,HDB2,320035
103,43800,Retail,103,SG,SG,Below Secondary,M,12/14/1971,Married,0,HDB4,150116
104,44000,Communications,104,SG,SG,Below Secondary,F,8/15/1969,Single,0,HDB4,760433
105,46000,Communications,105,SG,SG,Below Secondary,F,4/12/1964,Married,2,AP,759155
106,56000,Property,106,SG,SG,Diploma,M,8/15/1986,Single,0,HDB2,730578
107,105100,Consulting,107,SG,SG,University,M,3/29/1948,Single,0,HDB2,560314
108,34800,Food and Beverages,108,SG,SG,Below Secondary,F,3/7/1959,Married,0,HDB2,760270
109,55000,Transport,109,SG,SG,Secondary,M,8/1/1965,Single,0,HDB3,570166
110,50880,Transport,110,SG,SG,Secondary,F,7/18/1974,Married,2,HDB4,310046
111,102080,Transport,111,SG,SG,University,F,10/8/1966,Married,2,HDB5,540101
112,73000,Property,112,SG,SG,University,M,12/9/1954,Single,0,HDB2,760739
113,99000,Manufacturing,113,SG,SG,University,F,3/26/1954,Married,0,HDB4,680252
114,60010,Investment,114,SG,SG,Below Secondary,M,1/17/1954,Married,1,SDH,309946
115,48080,Media,115,SG,SG,Post Secondary,M,2/27/1986,Single,0,HDB5,760325
116,76320,Information Technology,116,SG,SG,University,M,10/6/1959,Married,0,HDB2,541268
117,42000,Entertainment,117,SG,SG,Below Secondary,M,1/8/1979,Single,0,HDB5,760627
118,56000,HealthCare,118,SG,SG,Diploma,M,6/16/1987,Married,0,HDB2,564596
119,32803,Manufacturing,119,SG,SG,Below Secondary,F,12/2/1962,Married,1,HDB5,542186
120,60000,Banking and Finance,120,MY,PR,University,M,10/25/1955,Married,1,HDB5,440031
121,55000,Information Technology,121,SG,SG,Secondary,M,7/9/1964,Single,0,HDB5,560422
122,53000,Electronics,122,SG,SG,Post Secondary,M,3/21/1974,Single,0,HDB5,432004
123,92500,Design,123,SG,SG,University,M,2/14/1970,Married,0,HDB2,520449
124,54640,Security,124,SG,SG,Secondary,F,2/16/1969,Single,0,HDB2,530143
125,54640,Manufacturing,125,SG,SG,Secondary,F,6/27/1939,Married,0,SDH,278907
126,57360,Information Technology,126,SG,SG,Post Secondary,F,12/2/1969,Married,0,HDB2,760854
127,50880,Data Storage,127,SG,SG,Secondary,F,12/14/1974,Married,0,HDB5,210671
128,42000,Design,128,SG,SG,Below Secondary,F,10/18/1986,Married,5,HDB5,760932
129,33143,Retail,129,SG,SG,Below Secondary,M,6/24/1959,Married,5,HDB2,190006
130,52000,Information Technology,130,SG,SG,Secondary,M,11/7/1957,Married,5,HDB5,680755
131,200400,Investment,131,SG,SG,Secondary,M,9/23/1966,Married,0,SDH,757423
132,105240,Security,132,SG,SG,University,M,9/28/1964,Married,3,DH,688512
133,197360,HealthCare,133,SG,SG,Diploma,F,2/14/1966,Married,2,HDB5,470773
134,60000,Information Technology,134,SG,SG,Diploma,M,9/18/1980,Married,2,HDB5,760324
135,50000,Transport,135,SG,SG,Secondary,F,11/8/1979,Married,0,HDB5,640966
136,56000,Property,136,SG,SG,Diploma,M,8/10/1986,Single,0,HDB5,560631
137,80000,Investment,137,SG,SG,University,M,10/16/1973,Married,1,AP,308349
138,92640,Diversified,138,SG,SG,University,F,9/19/1969,Married,3,HDB5,640558
139,51000,Information Technology,139,SG,SG,Post Secondary,M,3/8/1954,Married,2,HDB2,550263
140,30012,Hospitality,140,SG,SG,Below Secondary,M,3/20/1954,Married,1,HDB2,550529
141,232900,Diversified,141,SG,SG,Secondary,F,11/1/1966,Married,0,HDB2,760351
142,52700,Communications,142,SG,SG,Secondary,M,7/1/1984,Single,0,HDB5,560253
143,79800,Information Technology,143,SG,SG,Diploma,M,4/14/1959,Single,0,HDB2,560172
144,44000,Communications,144,SG,SG,Below Secondary,F,11/15/1969,Married,2,HDB5,600401
145,34800,Diversified,145,SG,SG,Below Secondary,F,1/4/1959,Married,3,HDB5,310194
146,198000,Banking and Finance,146,SG,SG,University,M,2/24/1969,Married,0,HDB2,310107
147,73000,Government,147,SG,SG,University,M,9/26/1954,Married,0,HDB4,650107
148,32535,Food and Beverages,148,SG,SG,Below Secondary,F,1/28/1964,Single,0,HDB2,670130
149,44000,Energy and Utility,149,SG,SG,Below Secondary,F,11/2/1969,Single,0,HDB2,400316
150,73000,Transport,150,SG,SG,University,M,5/10/1987,Married,2,HDB2,570155
151,46000,Diversified,151,SG,SG,Below Secondary,M,11/3/1964,Single,0,HDB3,164004
152,72000,Government,152,SG,SG,Secondary,M,3/28/1954,Married,2,HDB5,730322
153,73000,Energy and Utility,153,SG,SG,University,M,11/17/1954,Married,0,HDB2,460038
154,57000,Transport,154,SG,SG,Post Secondary,F,9/26/1973,Married,1,AP,218460
155,42000,Manufacturing,155,SG,SG,Below Secondary,M,5/11/1982,Married,0,HDB2,120327
156,31690,Transport,156,SG,SG,Below Secondary,F,10/28/1968,Married,5,HDB2,560551
157,72720,Manufacturing,157,SG,SG,University,M,11/15/1974,Married,1,HDB2,570117
158,220240,Food and Beverages,158,SG,SG,University,F,1/24/1969,Married,2,HDB5,510230
159,54680,HealthCare,159,SG,SG,Secondary,F,6/25/1942,Single,0,HDB4,508000
160,59000,Electronics,160,SG,SG,Post Secondary,M,5/19/1958,Married,2,AP,787073
161,75000,Manufacturing,161,SG,SG,University,M,5/13/1984,Single,0,HDB5,760150
162,56680,Government,162,SG,SG,Diploma,M,3/14/1986,Married,0,HDB5,680438
163,98000,Marine,163,SG,SG,Diploma,F,1/4/1959,Married,3,SH,328668
164,52000,Diversified,164,SG,SG,Secondary,M,4/23/1959,Single,0,HDB2,731681
165,80100,Investment,165,SG,SG,Diploma,F,12/11/1957,Married,2,HDB5,520277
166,104000,Communications,166,SG,SG,University,F,11/21/1946,Single,0,HDB5,760263
167,52000,Retail,167,SG,SG,Secondary,F,7/15/1954,Married,1,HDB2,670180
168,49000,Electronics,168,SG,SG,Secondary,M,7/27/1959,Married,3,HDB4,550103
169,92000,Government,169,SG,SG,University,M,5/6/1970,Married,0,HDB2,310112
170,50000,Property,170,SG,SG,Secondary,M,6/12/1966,Married,0,HDB2,560336
171,32997,Energy and Utility,171,SG,SG,Below Secondary,F,9/30/1957,Single,0,HDB2,823174
172,52010,Marine,172,SG,SG,Post Secondary,M,2/20/1983,Married,1,HDB2,520810
173,55000,Electronics,173,SG,SG,Secondary,M,6/18/1965,Single,0,HDB5,752503
174,73000,HealthCare,174,SG,SG,University,F,10/20/1990,Married,1,HDB2,520470
175,105000,Diversified,175,SG,SG,Secondary,M,3/25/1962,Married,2,BUN,249503
176,55000,Design,176,HK,PR,Secondary,M,4/15/1964,Single,0,HDB2,760770
177,58000,Data Storage,177,SG,SG,Secondary,F,3/27/1980,Single,0,HDB2,530964
178,54000,Communications,178,SG,SG,Secondary,F,8/16/1969,Married,0,BUN,349389
179,44000,Energy and Utility,179,IN,PR,Below Secondary,M,11/4/1969,Married,2,HDB5,670404
180,81000,Property,180,SG,SG,University,M,7/4/1981,Married,0,HDB3,670221
181,79800,Transport,181,SG,SG,Diploma,M,7/9/1959,Married,3,HDB4,430014
182,198400,Media,182,SG,SG,Diploma,M,8/22/1946,Single,0,HDB3,545119
183,31229,HealthCare,183,SG,SG,Below Secondary,M,11/3/1974,Married,2,HDB5,545123
184,49500,Electronics,184,SG,SG,Secondary,M,9/26/1968,Married,3,BUN,648575
185,58000,HealthCare,185,SG,SG,Post Secondary,M,6/3/1965,Single,0,HDB3,390016
186,78000,Communications,186,SG,SG,Diploma,M,5/15/1972,Single,0,HDB3,560418
187,44000,Data Storage,187,SG,SG,Below Secondary,M,10/12/1969,Married,3,SH,578925
188,40000,Security,188,SG,SG,Below Secondary,M,4/4/1954,Divorced,0,HDB3,683484
189,49600,Security,189,SG,SG,Secondary,F,4/6/1964,Married,0,HDB3,680454
190,120100,Communications,190,SG,SG,University,M,2/12/1971,Single,0,HDB3,460536
191,75000,Marine,191,SG,SG,University,F,8/23/1984,Married,2,HDB3,650101
192,58000,Property,192,SG,SG,University,M,4/26/1955,Married,0,HDB3,670228
193,129240,Design,193,SG,SG,University,M,12/27/1964,Married,1,SDH,339098
194,79200,Property,194,SG,SG,University,M,5/26/1974,Married,4,HDB3,640925
195,31208,Investment,195,SG,SG,Below Secondary,M,4/25/1965,Married,0,HDB5,681485
196,49000,Information Technology,196,SG,SG,Diploma,M,8/28/1977,Married,1,HDB5,530144
197,60000,Security,197,SG,SG,Below Secondary,F,9/23/1954,Married,2,BUN,299939
198,78680,Electronics,198,SG,SG,Diploma,M,11/4/1951,Single,0,HDB5,520157
199,60000,HealthCare,199,SG,SG,Diploma,F,2/25/1980,Married,0,HDB4,310247
200,46000,Transport,200,SG,SG,Below Secondary,F,7/11/1947,Married,0,PC,287000
201,52000,Information Technology,201,SG,SG,Secondary,M,1/18/1956,Married,0,HDB3,530242
202,54000,Information Technology,202,SG,SG,Secondary,F,9/25/1969,Married,1,HDB5,760311
203,42000,Food and Beverages,203,SG,SG,Below Secondary,F,2/12/1980,Married,0,HDB4,590006
204,109680,Energy and Utility,204,SG,SG,University,M,11/2/1954,Divorced,0,HDB3,390002
205,48100,Government,205,SG,SG,Post Secondary,M,2/14/1986,Married,4,HDB4,610007
206,72720,Government,206,SG,SG,University,M,11/3/1974,Married,2,HDB5,791438
207,78000,Property,207,SG,SG,Diploma,F,1/20/1970,Married,0,HDB5,200807
208,52000,Media,208,SG,SG,Secondary,M,8/13/1954,Divorced,0,EC,534798
209,57440,Transport,209,SG,SG,Post Secondary,M,7/20/1969,Single,0,HDB5,560204
210,199000,Transport,210,SG,SG,University,M,11/19/1965,Married,2,PC,239224
211,145200,Electronics,211,SG,SG,University,M,9/24/1959,Married,0,SDH,288455
212,87120,Security,212,SG,SG,University,M,4/30/1945,Single,0,DH,537828
213,38400,Information Technology,213,SG,SG,Below Secondary,M,7/16/1957,Single,0,EC,370027
214,72720,Media,214,SG,SG,University,M,7/18/1974,Married,4,HDB5,560559
215,33156,Transport,215,SG,SG,Below Secondary,F,3/8/1960,Married,1,HDB5,160044
216,105360,Agribusiness,216,SG,SG,University,F,6/16/1966,Married,1,HDB3,530442
217,50000,Diversified,217,SG,SG,Secondary,F,3/23/1967,Married,1,HDB3,200811
218,81080,Retail,218,SG,SG,University,F,9/25/1971,Married,2,HDB3,680692
219,52000,Marine,219,SG,SG,Secondary,F,6/1/1959,Married,1,HDB4,271013
220,42880,Entertainment,220,SG,SG,Below Secondary,M,11/18/1974,Single,0,HDB3,602285
221,58000,Manufacturing,221,SG,SG,Secondary,M,3/22/1981,Married,1,DH,275790
222,121000,Banking and Finance,222,SG,SG,University,M,2/19/1970,Single,0,HDB4,438888
223,50000,Media,223,SG,SG,Secondary,F,6/3/1981,Single,0,AP,466612
224,55000,Transport,224,SG,SG,Secondary,M,7/7/1949,Married,3,HDB5,460534
225,80200,Transport,225,SG,SG,Diploma,M,10/18/1955,Married,2,HDB3,660024
226,43520,HealthCare,226,SG,SG,Below Secondary,F,12/16/1972,Married,0,HDB5,199018
227,46000,Manufacturing,227,SG,SG,Below Secondary,M,4/23/1964,Married,3,HDB5,150087
228,50000,Property,228,SG,SG,Secondary,F,11/3/1982,Married,0,AP,308227
229,75000,Transport,229,MY,PR,University,F,12/24/1984,Married,0,HDB3,680691
230,79100,Communications,230,SG,SG,Diploma,F,2/6/1964,Married,2,HDB5,460104
231,78520,HealthCare,231,SG,SG,Diploma,F,4/22/1949,Single,0,HDB3,310053
232,31503,Property,232,MY,PR,Below Secondary,M,1/10/1941,Married,2,DH,288639
233,98760,Transport,233,SG,SG,University,F,7/24/1974,Married,2,DH,276489
234,145560,Education,234,SG,SG,University,F,9/20/1959,Single,0,HDB3,820111
235,92960,Accounting,235,SG,SG,University,F,12/15/1969,Married,1,HDB5,510240
236,107800,Investment,236,SG,SG,Diploma,F,3/28/1959,Married,3,SH,307711
237,42000,Diversified,237,HK,PR,Below Secondary,F,12/24/1986,Married,0,HDB3,640840
238,40000,Communications,238,SG,SG,Below Secondary,M,7/12/1954,Married,1,HDB3,680616
239,106000,Communications,239,SG,SG,University,M,11/20/1973,Married,1,HDB5,540249
240,79840,Manufacturing,240,SG,SG,Diploma,M,11/13/1959,Married,2,HDB4,590003
241,81100,Transport,241,SG,SG,University,M,8/10/1981,Married,1,HDB3,600035
242,100400,Media,242,SG,SG,University,M,5/4/1968,Married,2,HDB3,640687
243,201000,Information Technology,243,SG,SG,University,M,1/25/1969,Married,1,HDB5,271021
244,78000,Communications,244,SG,SG,Diploma,F,12/2/1969,Married,1,SH,320002
245,32031,Transport,245,SG,SG,Below Secondary,F,10/26/1965,Married,2,HDB5,640401
246,49000,Accounting,246,SG,SG,Secondary,M,2/26/1960,Married,0,HDB3,510570
247,35040,Design,247,SG,SG,Below Secondary,M,5/4/1958,Married,1,HDB5,200025
248,79027,Transport,248,SG,SG,Post Secondary,F,5/8/1970,Married,1,HDB5,542261
249,73000,Communications,249,SG,SG,University,F,9/26/1986,Married,4,PC,669590
250,32816,Electronics,250,SG,SG,Below Secondary,M,10/18/1962,Single,0,HDB3,560523
251,43920,Marine,251,SG,SG,Below Secondary,M,9/20/1970,Married,0,HDB3,460065
252,53000,Diversified,252,SG,SG,Post Secondary,M,12/10/1974,Married,5,HDB5,523498
253,53880,Information Technology,253,SG,SG,Secondary,F,6/10/1971,Married,1,AP,398447
254,49320,Consulting,254,SG,SG,Diploma,M,6/4/1974,Single,0,HDB5,560413
255,44000,Property,255,SG,SG,Below Secondary,M,4/14/1969,Married,2,HDB3,150129
256,76000,Transport,256,SG,SG,University,F,6/9/1960,Married,2,HDB4,640260
257,48000,HealthCare,257,SG,SG,Post Secondary,F,11/27/1986,Married,1,HDB5,380104
258,72800,Transport,258,SG,SG,University,M,8/10/1974,Single,0,HDB3,680547
259,60000,Energy and Utility,259,SG,SG,Diploma,M,11/9/1980,Married,0,HDB5,212671
260,93000,Marine,260,SG,SG,University,M,8/23/1969,Single,0,HDB3,822203
261,146000,Security,261,SG,SG,University,F,9/6/1959,Single,0,HDB3,90020
262,73000,Retail,262,SG,SG,University,F,9/16/1986,Married,4,HDB3,210013
263,60000,Media,263,SG,SG,Diploma,M,8/3/1981,Married,0,PC,669590
264,78000,Marine,264,SG,SG,Diploma,F,6/9/1970,Married,1,PC,529869
265,53920,Transport,265,SG,SG,Secondary,F,5/2/1970,Single,0,HDB3,390019
266,80400,Retail,266,SG,SG,Diploma,F,12/3/1954,Married,1,HDB4,604287
267,220440,Design,267,SG,SG,University,M,2/25/1969,Married,1,AP,398447
268,78600,Transport,268,SG,SG,Diploma,F,1/18/1966,Married,0,HDB5,270005
269,47760,Food and Beverages,269,SG,SG,Secondary,M,4/6/1984,Single,0,HDB3,430008
270,46000,Security,270,SG,SG,Below Secondary,F,7/17/1952,Married,3,HDB4,660023
271,50900,Information Technology,271,SG,SG,Secondary,M,10/26/1974,Married,4,HDB5,200026
272,48000,Security,272,SG,SG,Post Secondary,F,9/5/1989,Married,2,HDB5,760324
273,50560,Investment,273,SG,SG,Secondary,M,1/10/1980,Married,2,HDB3,681687
274,53920,Manufacturing,274,SG,SG,Secondary,M,10/2/1970,Single,0,HDB5,560134
275,42000,HealthCare,275,SG,SG,Below Secondary,F,3/10/1984,Married,3,EC,328103
276,51600,HealthCare,276,SG,SG,Secondary,M,1/14/1964,Married,2,HDB3,670120
277,76000,Information Technology,277,SG,SG,Diploma,M,6/11/1950,Married,1,HDB4,604287
278,72800,Information Technology,278,SG,SG,University,F,12/8/1974,Married,0,SDH,278854
279,75600,HealthCare,279,SG,SG,University,F,5/23/1962,Married,1,HDB3,320115
280,42000,Communications,280,SG,SG,Below Secondary,M,3/8/1988,Single,0,HDB5,760825
281,78000,Property,281,SG,SG,Diploma,M,6/26/1971,Married,0,HDB5,310253
282,52400,Electronics,282,SG,SG,Post Secondary,F,2/23/1981,Single,0,HDB3,730028
283,56000,Transport,283,SG,SG,Diploma,F,8/13/1989,Married,5,HDB3,330056
284,92000,Property,284,SG,SG,University,M,6/13/1970,Married,2,HDB5,550256
285,93020,Energy and Utility,285,SG,SG,University,F,6/28/1969,Married,3,HDB5,201007
286,79100,Property,286,SG,SG,Diploma,F,9/13/1972,Single,0,PC,390019
287,59500,HealthCare,287,SG,SG,Below Secondary,M,5/4/1955,Married,0,PC,509000
288,49800,Banking and Finance,288,SG,SG,Secondary,F,4/25/1935,Married,1,HDB4,671225
289,55000,Property,289,SG,SG,Secondary,F,7/3/1948,Married,3,SH,248871
290,109800,Marine,290,SG,SG,University,M,9/8/1954,Married,3,HDB4,670120
291,73000,Consulting,291,SG,SG,University,F,6/7/1986,Married,0,HDB3,650385
292,54720,Transport,292,SG,SG,Secondary,M,3/28/1936,Married,2,TH,329049
293,46000,Media,293,SG,SG,Below Secondary,F,6/12/1964,Single,0,HDB5,751354
294,46000,Electronics,294,SG,SG,Below Secondary,F,5/25/1964,Married,0,HDB3,520321
295,33161,Energy and Utility,295,SG,SG,Below Secondary,M,5/11/1959,Married,0,HDB4,419832
296,78600,Information Technology,296,SG,SG,Diploma,F,10/4/1965,Married,0,HDB5,560575
297,106000,Communications,297,SG,SG,University,M,4/27/1972,Married,1,HDB4,628752
298,53000,Banking and Finance,298,SG,SG,Post Secondary,F,7/26/1974,Married,2,HDB4,683297
299,31850,Manufacturing,299,SG,SG,Below Secondary,M,4/12/1967,Married,1,HDB4,671225
300,100480,Security,300,SG,SG,University,F,8/28/1968,Married,1,HDB3,684296
301,45000,Property,301,SG,SG,Below Secondary,F,12/2/1935,Married,2,AP,159958
302,58200,Banking and Finance,302,SG,SG,Post Secondary,F,9/11/1971,Single,0,HDB3,550521
303,78440,Media,303,SG,SG,Diploma,M,8/5/1966,Married,1,HDB5,200808
304,53600,Retail,304,SG,SG,Secondary,M,3/24/1973,Single,0,HDB5,730418
305,93020,Energy and Utility,305,SG,SG,University,M,12/13/1969,Married,0,HDB5,530452
306,75000,HealthCare,306,SG,SG,University,F,9/18/1984,Married,0,HDB5,640695
307,54800,Manufacturing,307,SG,SG,Secondary,F,2/17/1969,Single,0,PC,159967
308,44000,Communications,308,SG,SG,Below Secondary,M,9/15/1970,Married,0,HDB3,680132
309,58000,HealthCare,309,SG,SG,Post Secondary,M,10/14/1971,Married,0,HDB5,260004
310,60000,Manufacturing,310,SG,SG,Below Secondary,M,9/19/1970,Married,0,SDH,309946
311,113480,Retail,311,SG,SG,Diploma,F,5/16/1954,Married,0,HDB5,550427
312,220800,Education,312,SG,SG,University,F,1/19/1969,Married,0,HDB5,680677
