CustomerID,Nationality,SASNationality,EducationLevel,Gender,BirthDate,MaritalStatus,NoOfDependents,ResidentialType,PostalCode
187,SG,SG,Below Secondary,M,10/12/1969,Married,3,SH,578925
188,SG,SG,Below Secondary,M,4/4/1954,Divorced,0,HDB3,683484
189,SG,SG,Secondary,F,4/6/1964,Married,0,HDB3,680454
190,SG,SG,University,M,2/12/1971,Single,0,HDB3,460536
191,SG,SG,University,F,8/23/1984,Married,2,HDB3,650101
192,SG,SG,University,M,4/26/1955,Married,0,HDB3,670228
193,SG,SG,University,M,12/27/1964,Married,1,SDH,339098
194,SG,SG,University,M,5/26/1974,Married,4,HDB3,640925
195,SG,SG,Below Secondary,M,4/25/1965,Married,0,HDB5,681485
196,SG,SG,Diploma,M,8/28/1977,Married,1,HDB5,530144
197,SG,SG,Below Secondary,F,9/23/1954,Married,2,BUN,299939
198,SG,SG,Diploma,M,11/4/1951,Single,0,HDB5,520157
199,SG,SG,Diploma,F,2/25/1980,Married,0,HDB4,310247
200,SG,SG,Below Secondary,F,7/11/1947,Married,0,PC,287000
201,SG,SG,Secondary,M,1/18/1956,Married,0,HDB3,530242
202,SG,SG,Secondary,F,9/25/1969,Married,1,HDB5,760311
203,SG,SG,Below Secondary,F,2/12/1980,Married,0,HDB4,590006
204,SG,SG,University,M,11/2/1954,Divorced,0,HDB3,390002
205,SG,SG,Post Secondary,M,2/14/1986,Married,4,HDB4,610007
206,SG,SG,University,M,11/3/1974,Married,2,HDB5,791438
207,SG,SG,Diploma,F,1/20/1970,Married,0,HDB5,200807
208,SG,SG,Secondary,M,8/13/1954,Divorced,0,EC,534798
209,SG,SG,Post Secondary,M,7/20/1969,Single,0,HDB5,560204
210,SG,SG,University,M,11/19/1965,Married,2,PC,239224
211,SG,SG,University,M,9/24/1959,Married,0,SDH,288455
212,SG,SG,University,M,4/30/1945,Single,0,DH,537828
213,SG,SG,Below Secondary,M,7/16/1957,Single,0,EC,370027
214,SG,SG,University,M,7/18/1974,Married,4,HDB5,560559
215,SG,SG,Below Secondary,F,3/8/1960,Married,1,HDB5,160044
216,SG,SG,University,F,6/16/1966,Married,1,HDB3,530442
217,SG,SG,Secondary,F,3/23/1967,Married,1,HDB3,200811
218,SG,SG,University,F,9/25/1971,Married,2,HDB3,680692
219,SG,SG,Secondary,F,6/1/1959,Married,1,HDB4,271013
220,SG,SG,Below Secondary,M,11/18/1974,Single,0,HDB3,602285
221,SG,SG,Secondary,M,3/22/1981,Married,1,DH,275790
222,SG,SG,University,M,2/19/1970,Single,0,HDB4,438888
223,SG,SG,Secondary,F,6/3/1981,Single,0,AP,466612
224,SG,SG,Secondary,M,7/7/1949,Married,3,HDB5,460534
225,SG,SG,Diploma,M,10/18/1955,Married,2,HDB3,660024
226,SG,SG,Below Secondary,F,12/16/1972,Married,0,HDB5,199018
227,SG,SG,Below Secondary,M,4/23/1964,Married,3,HDB5,150087
228,SG,SG,Secondary,F,11/3/1982,Married,0,AP,308227
229,MY,PR,University,F,12/24/1984,Married,0,HDB3,680691
230,SG,SG,Diploma,F,2/6/1964,Married,2,HDB5,460104
231,SG,SG,Diploma,F,4/22/1949,Single,0,HDB3,310053
232,MY,PR,Below Secondary,M,1/10/1941,Married,2,DH,288639
233,SG,SG,University,F,7/24/1974,Married,2,DH,276489
234,SG,SG,University,F,9/20/1959,Single,0,HDB3,820111
235,SG,SG,University,F,12/15/1969,Married,1,HDB5,510240
236,SG,SG,Diploma,F,3/28/1959,Married,3,SH,307711
237,HK,PR,Below Secondary,F,12/24/1986,Married,0,HDB3,640840
238,SG,SG,Below Secondary,M,7/12/1954,Married,1,HDB3,680616
239,SG,SG,University,M,11/20/1973,Married,1,HDB5,540249
240,SG,SG,Diploma,M,11/13/1959,Married,2,HDB4,590003
241,SG,SG,University,M,8/10/1981,Married,1,HDB3,600035
242,SG,SG,University,M,5/4/1968,Married,2,HDB3,640687
243,SG,SG,University,M,1/25/1969,Married,1,HDB5,271021
244,SG,SG,Diploma,F,12/2/1969,Married,1,SH,320002
245,SG,SG,Below Secondary,F,10/26/1965,Married,2,HDB5,640401
246,SG,SG,Secondary,M,2/26/1960,Married,0,HDB3,510570
247,SG,SG,Below Secondary,M,5/4/1958,Married,1,HDB5,200025
248,SG,SG,Post Secondary,F,5/8/1970,Married,1,HDB5,542261
249,SG,SG,University,F,9/26/1986,Married,4,PC,669590
250,SG,SG,Below Secondary,M,10/18/1962,Single,0,HDB3,560523
251,SG,SG,Below Secondary,M,9/20/1970,Married,0,HDB3,460065
252,SG,SG,Post Secondary,M,12/10/1974,Married,5,HDB5,523498
253,SG,SG,Secondary,F,6/10/1971,Married,1,AP,398447
254,SG,SG,Diploma,M,6/4/1974,Single,0,HDB5,560413
255,SG,SG,Below Secondary,M,4/14/1969,Married,2,HDB3,150129
256,SG,SG,University,F,6/9/1960,Married,2,HDB4,640260
257,SG,SG,Post Secondary,F,11/27/1986,Married,1,HDB5,380104
258,SG,SG,University,M,8/10/1974,Single,0,HDB3,680547
259,SG,SG,Diploma,M,11/9/1980,Married,0,HDB5,212671
260,SG,SG,University,M,8/23/1969,Single,0,HDB3,822203
261,SG,SG,University,F,9/6/1959,Single,0,HDB3,90020
262,SG,SG,University,F,9/16/1986,Married,4,HDB3,210013
263,SG,SG,Diploma,M,8/3/1981,Married,0,PC,669590
264,SG,SG,Diploma,F,6/9/1970,Married,1,PC,529869
265,SG,SG,Secondary,F,5/2/1970,Single,0,HDB3,390019
266,SG,SG,Diploma,F,12/3/1954,Married,1,HDB4,604287
267,SG,SG,University,M,2/25/1969,Married,1,AP,398447
268,SG,SG,Diploma,F,1/18/1966,Married,0,HDB5,270005
269,SG,SG,Secondary,M,4/6/1984,Single,0,HDB3,430008
270,SG,SG,Below Secondary,F,7/17/1952,Married,3,HDB4,660023
271,SG,SG,Secondary,M,10/26/1974,Married,4,HDB5,200026
272,SG,SG,Post Secondary,F,9/5/1989,Married,2,HDB5,760324
273,SG,SG,Secondary,M,1/10/1980,Married,2,HDB3,681687
274,SG,SG,Secondary,M,10/2/1970,Single,0,HDB5,560134
275,SG,SG,Below Secondary,F,3/10/1984,Married,3,EC,328103
276,SG,SG,Secondary,M,1/14/1964,Married,2,HDB3,670120
277,SG,SG,Diploma,M,6/11/1950,Married,1,HDB4,604287
278,SG,SG,University,F,12/8/1974,Married,0,SDH,278854
279,SG,SG,University,F,5/23/1962,Married,1,HDB3,320115
280,SG,SG,Below Secondary,M,3/8/1988,Single,0,HDB5,760825
281,SG,SG,Diploma,M,6/26/1971,Married,0,HDB5,310253
282,SG,SG,Post Secondary,F,2/23/1981,Single,0,HDB3,730028
283,SG,SG,Diploma,F,8/13/1989,Married,5,HDB3,330056
284,SG,SG,University,M,6/13/1970,Married,2,HDB5,550256
285,SG,SG,University,F,6/28/1969,Married,3,HDB5,201007
286,SG,SG,Diploma,F,9/13/1972,Single,0,PC,390019
287,SG,SG,Below Secondary,M,5/4/1955,Married,0,PC,509000
288,SG,SG,Secondary,F,4/25/1935,Married,1,HDB4,671225
289,SG,SG,Secondary,F,7/3/1948,Married,3,SH,248871
290,SG,SG,University,M,9/8/1954,Married,3,HDB4,670120
291,SG,SG,University,F,6/7/1986,Married,0,HDB3,650385
292,SG,SG,Secondary,M,3/28/1936,Married,2,TH,329049
293,SG,SG,Below Secondary,F,6/12/1964,Single,0,HDB5,751354
294,SG,SG,Below Secondary,F,5/25/1964,Married,0,HDB3,520321
295,SG,SG,Below Secondary,M,5/11/1959,Married,0,HDB4,419832
296,SG,SG,Diploma,F,10/4/1965,Married,0,HDB5,560575
297,SG,SG,University,M,4/27/1972,Married,1,HDB4,628752
298,SG,SG,Post Secondary,F,7/26/1974,Married,2,HDB4,683297
299,SG,SG,Below Secondary,M,4/12/1967,Married,1,HDB4,671225
300,SG,SG,University,F,8/28/1968,Married,1,HDB3,684296
301,SG,SG,Below Secondary,F,12/2/1935,Married,2,AP,159958
302,SG,SG,Post Secondary,F,9/11/1971,Single,0,HDB3,550521
303,SG,SG,Diploma,M,8/5/1966,Married,1,HDB5,200808
304,SG,SG,Secondary,M,3/24/1973,Single,0,HDB5,730418
305,SG,SG,University,M,12/13/1969,Married,0,HDB5,530452
306,SG,SG,University,F,9/18/1984,Married,0,HDB5,640695
307,SG,SG,Secondary,F,2/17/1969,Single,0,PC,159967
308,SG,SG,Below Secondary,M,9/15/1970,Married,0,HDB3,680132
309,SG,SG,Post Secondary,M,10/14/1971,Married,0,HDB5,260004
310,SG,SG,Below Secondary,M,9/19/1970,Married,0,SDH,309946
311,SG,SG,Diploma,F,5/16/1954,Married,0,HDB5,550427
312,SG,SG,University,F,1/19/1969,Married,0,HDB5,680677
313,SG,SG,Secondary,F,9/22/1969,Married,0,HDB3,260004
314,SG,SG,University,F,6/18/1984,Married,0,HDB5,210672
315,SG,SG,Below Secondary,F,5/22/1954,Divorced,0,EC,238436
316,SG,SG,University,F,2/12/1966,Single,0,TH,369825
317,SG,SG,Diploma,F,4/7/1979,Married,0,PC,669590
318,SG,SG,Diploma,F,4/20/1987,Married,0,HDB4,588000
319,SG,SG,University,F,8/27/1974,Married,1,HDB4,310203
320,SG,SG,Below Secondary,F,6/26/1989,Married,2,HDB5,560584
321,SG,SG,University,F,2/21/1959,Married,5,HDB3,530537
322,SG,SG,Secondary,M,4/23/1974,Single,0,HDB3,670237
323,SG,SG,Post Secondary,F,8/14/1966,Single,0,HDB3,520353
324,SG,SG,University,M,10/4/1970,Married,2,HDB4,605285
325,SG,SG,Below Secondary,F,9/9/1936,Married,0,HDB4,670101
326,SG,SG,Diploma,F,7/25/1978,Married,1,HDB5,730415
327,SG,SG,Below Secondary,F,11/12/1936,Married,2,PC,509373
328,SG,SG,Diploma,F,3/11/1966,Married,4,SDH,297813
329,SG,SG,Post Secondary,F,11/21/1974,Married,3,BUN,578050
330,AU,PR,University,M,9/10/1959,Married,0,HDB5,821101
331,SG,SG,Secondary,M,10/9/1974,Single,0,HDB3,530349
332,SG,SG,Secondary,F,11/9/1965,Married,2,HDB4,605285
333,SG,SG,Secondary,M,6/5/1959,Single,0,HDB5,760423
334,SG,SG,Secondary,F,3/21/1971,Single,0,DH,487310
335,SG,SG,Secondary,F,8/4/1969,Married,2,HDB5,608781
336,SG,SG,Secondary,F,8/1/1962,Single,0,HDB3,530642
337,SG,SG,Below Secondary,M,6/14/1959,Single,0,HDB3,510428
338,SG,SG,University,F,9/22/1979,Married,1,HDB3,680406
339,SG,SG,Below Secondary,F,5/8/1944,Married,2,HDB3,670120
340,SG,SG,Secondary,F,4/11/1981,Single,0,HDB5,751467
341,SG,SG,University,F,1/26/1964,Married,0,HDB5,530911
342,SG,SG,University,F,1/21/1954,Divorced,0,HDB3,600331
343,SG,SG,Diploma,F,12/10/1955,Married,2,HDB4,600216
344,SG,SG,University,F,1/17/1981,Single,0,HDB3,753504
345,SG,SG,University,F,5/21/1955,Married,2,HDB5,520310
346,SG,SG,Below Secondary,F,12/8/1954,Married,2,HDB4,610005
347,SG,SG,Secondary,F,3/26/1980,Married,2,HDB5,310254
348,SG,SG,Below Secondary,F,6/13/1938,Married,2,AP,738097
349,SG,SG,Below Secondary,F,3/6/1972,Married,1,PC,738207
350,SG,SG,Secondary,F,3/12/1959,Married,1,HDB3,200815
351,SG,SG,University,F,11/25/1984,Single,0,HDB3,681692
352,SG,SG,Post Secondary,M,2/15/1964,Married,5,BUN,567938
353,SG,SG,Secondary,F,10/15/1964,Single,0,DH,789560
354,SG,SG,University,F,12/24/1967,Single,0,HDB4,411671
355,SG,SG,University,M,5/9/1981,Married,4,HDB5,200813
356,SG,SG,Secondary,M,10/24/1977,Married,0,HDB3,541325
357,SG,SG,Diploma,M,7/17/1959,Married,1,SH,209712
358,SG,SG,Below Secondary,F,9/28/1966,Married,0,HDB3,320030
359,SG,SG,University,M,2/8/1975,Married,3,HDB4,680295
360,SG,SG,Secondary,F,4/3/1959,Married,0,HDB3,670107
361,SG,SG,Below Secondary,F,5/8/1954,Married,0,HDB5,822104
362,SG,SG,Diploma,M,12/25/1969,Married,1,HDB3,120355
363,SG,SG,Secondary,M,2/2/1979,Married,0,HDB4,637071
364,SG,SG,Post Secondary,F,9/7/1964,Single,0,HDB3,760127
365,SG,SG,Below Secondary,F,6/26/1989,Single,0,HDB4,429014
366,SG,SG,Below Secondary,F,11/3/1962,Married,0,HDB3,680704
367,SG,SG,Below Secondary,M,9/6/1966,Single,0,HDB3,650368
368,SG,SG,University,F,6/6/1965,Married,0,HDB3,390034
369,SG,SG,University,F,8/24/1972,Married,1,HDB3,541223
370,SG,SG,Secondary,M,10/25/1947,Married,2,HDB4,644273
371,SG,SG,Secondary,F,5/15/1959,Married,2,HDB4,680119
372,SG,SG,Post Secondary,F,11/14/1954,Married,2,HDB5,510251
373,SG,SG,Secondary,M,5/28/1978,Single,0,HDB3,90021
374,SG,SG,Diploma,M,10/16/1958,Married,2,HDB3,460029
375,SG,SG,Below Secondary,F,7/23/1969,Single,0,HDB5,760750
376,SG,SG,Diploma,F,5/5/1972,Married,2,HDB5,538683
377,ID,PR,Below Secondary,M,3/28/1970,Married,0,HDB3,550243
378,MY,PR,University,F,3/24/1971,Married,1,HDB5,680448
379,SG,SG,Below Secondary,F,12/26/1969,Married,2,HDB5,460014
380,SG,SG,University,F,6/27/1972,Married,2,PC,574044
381,SG,SG,Below Secondary,F,3/19/1964,Single,0,HDB3,680210
382,SG,SG,University,F,3/4/1959,Married,0,HDB5,200029
383,SG,SG,University,M,3/15/1965,Married,1,EC,329112
384,SG,SG,Post Secondary,F,1/27/1984,Married,4,HDB5,200813
385,SG,SG,University,F,4/9/1969,Married,2,TH,329049
386,SG,SG,Below Secondary,M,3/26/1954,Married,0,HDB5,760819
387,SG,SG,Secondary,M,12/6/1984,Married,0,HDB4,510101
388,SG,SG,Below Secondary,M,4/16/1974,Single,0,HDB5,730709
389,SG,SG,Below Secondary,M,1/27/1954,Married,2,HDB4,610005
390,SG,SG,Diploma,F,8/1/1980,Married,1,PC,528801
391,SG,SG,Diploma,M,1/3/1980,Married,2,AP,458756
392,SG,SG,Diploma,F,2/25/1965,Married,4,HDB5,670474
393,SG,SG,Secondary,F,1/12/1975,Married,0,HDB3,550403
394,SG,SG,University,F,3/19/1962,Married,0,HDB3,210037
395,SG,SG,Diploma,M,5/7/1984,Single,0,HDB5,733786
396,SG,SG,University,F,10/17/1986,Single,0,HDB3,823641
397,SG,SG,University,M,12/8/1968,Single,0,HDB5,760836
398,SG,SG,Below Secondary,F,4/25/1959,Married,0,PC,600124
399,SG,SG,Below Secondary,M,5/20/1959,Single,0,HDB5,730004
400,SG,SG,Post Secondary,F,5/15/1946,Married,0,HDB3,537984
401,SG,SG,University,M,10/7/1974,Married,1,DH,688322
402,SG,SG,Post Secondary,F,5/16/1978,Married,3,PC,207226
